full_name,abbr_name,erc20_contract
Invacio Coin,INV,0xece83617db208ad255ad4f45daf81e25137535bb
BitDice,CSNO,0x29d75277ac7f0335b2165d0895e8725cbf658d73
Pebbles,PBL,0x55648de19836338549130b1af587f16bea46f66b
AstroTokens,ASTRO,0x7b22938ca841aa392c93dbb7f4c42178e3d65e88
Dether,DTH,0x5adc961d6ac3f7062d2ea45fefb8d8167d44b190
PayFair,PFR,0x2fa32a39fc1c399e0cc7b2935868f5165de7ce97
B2BX,B2BX,0x5d51fcced3114a8bb5e90cdd0f9d682bcbcc5393
Opus,OPT,0x4355fc160f74328f9b383df2ec589bb3dfd82ba0
Real Estate Asset Ledger,REAL,0x9214ec02cb71cba0ada6896b8da260736a67ab10
FintruX Network,FTX,0xd559f20296ff4895da39b5bd9add54b442596a61
VIU,VIU,0x519475b31653e46d20cd09f9fdcf3b12bdacb4f5
VOISE,VOISE,0x83eea00d838f92dec4d1475697b9f4d3537b56e3
REX - Real Estate tokens,REX,0xf05a9382a4c3f29e2784502754293d88b835109c
LatiumX,LATX,0x2f85e502a988af76f7ee6d83b7db8d6c0a823bf9
AMLT,AMLT,0xca0e7269600d353f70b14ad118a49575455c0f2f
Sharpe Platform Token,SHP,0xef2463099360a085f1f10b076ed72ef625497a06
Autonio,NIO,0x5554e04e76533e1d14c52f05beef6c9d329e1e30
ATLANT,ATL,0x78b7fada55a64dd895d8c8c35779dd8b67fa8a05
Spectre.ai U-Token,SXUT,0x2c82c73d5b34aa015989462b2948cd616a37641f
Open Trading Network,OTN,0x881ef48211982d01e2cb7092c915e647cd40d85c
CPAY,CPAY,0x0ebb614204e47c09b6c3feb9aaecad8ee060e23e
GAT,GAT,0x687174f8c49ceb7729d925c3a961507ea4ac7b28
Herocoin,PLAY,0xe477292f1b3268687a29376116b0ed27a9c76170
HelloGold,HGT,0xba2184520a1cc49a6159c57e61e1844e085615b6
Internxt,INXT,0xa8006c4ca56f24d6836727d106349320db7fef82
IUNGO,ING,0x24ddff6d8b8a42d835af3b440de91f3386554aa4
TieToken,TIE,0x999967e2ec8a74b7c8e9db19e039d920b31d39d0
ClearCoin,CLR,0xac838aee2f650a6b970ecea56d4651653c1f84a1
DigiPulse,DGPT,0xf6cfe53d6febaeea051f400ff5fc14f0cbbdaca1
Upfiring,UFR,0xea097a2b1db00627b2fa17460ad260c016016977
Education,LEDU,0x5b26c5d0772e5bbac8b3182ae9a13f9bb2d03765
BlockCAT,CAT,0x56ba2ee7890461f463f7be02aac3099f6d5811a8
SOCIALL,SCL,0xd7631787b4dcc87b1254cfd1e5ce48e96823dee8
LOCIcoin,LOCI,0x9c23d67aea7b95d80942e3836bcdf7e708a747c2
Experty,EXY,0x5c743a35e903f6c584514ec617acee0611cf44f3
MyWish,WISH,0x1b22c32cd936cb97c28c5690a0695a82abf688e6
PIX,PIX,0x8effd494eb698cc399af6231fccd39e08fd20b15
vSlice,VSL,0x5c543e7ae0a1104f78406c340e9c64fd9fce5170
RefToken,REF,0x89303500a7abfb178b274fd89f2469c264951e1f
Tokenbox,TBX,0x3a92bd396aef82af98ebc0aa9030d25a23b11c6b
Sense,SENSE,0x6745fab6801e376cd24f03572b9c9b0d4edddccf
1World,1WO,0xfdbc1adc26f0f8f8606a5d63b7d3a3cd21c22b23
Vezt,VZT,0x9720b467a710382a232a32f540bdced7d662a10b
SyncFab Smart Manufacturing Blockchain,MFG,0x6710c63432a2de02954fc0f851db07146a6c0312
Aigang,AIX,0x1063ce524265d5a3a624f4914acd573dd89ce988
GENE TOKEN,PARKGENE),0x6dd4e4aad29a40edd6a409b9c1625186c9855b4d
COPYTRACK,CPY,0xf44745fbd41f6a1ba151df190db0564c5fcc4410
Bonpay,BON,0xcc34366e3842ca1bd36c1f324d15257960fcc801
Horse,HORSE,0x5b0751713b2527d7f002c0c4e2a37e1219610a6b
Gimli,GIM,0xae4f56f072c34c0a65b3ae3e4db797d831439d93
Global Messaging Token,GMT,0xb3bd49e28f8f832b8d1e246106991e546c323502
CreditBIT,CRB,0xaef38fbfbf932d1aef3b808bc8fbd8cd8e1f8bc5
Indorse,IND,0xf8e386eda857484f5a12e4b5daa9984e06e73705
Daneel,DAN,0x9b70740e708a083c6ff38df52297020f5dfaa5ee
WTT,WTT,0x84119cb33e8f590d75c2d6ea4e6b0741a7494eda
Chainium,CHX,0x1460a58096d80a50a2f1f956dda497611fa4f165
DCORP,DRP,0x621d78f2ef2fd937bfca696cabaf9a779f59b3ed
Signals Network Token,SGN,0xb2135ab9695a7678dd590b1a996cb0f37bcb0718
XENON,XNN,0xab95e915c123fded5bdfb6325e35ef5515f1ea69
BTRN,BTRN,0x03c780cd554598592b97b7256ddaad759945b125
Flyp.me,FYP,0x8f0921f30555624143d427b340b1156914882c10
Tracto,TRCT,0x30cecb5461a449a90081f5a5f55db4e048397bab
StarterCoin,STAC,0x9a005c9a89bd72a4bd27721e7a09a3c11d2b03c4
ACE,ACE,0x06147110022b768ba8f99a8f385df11a151a9cc8
Pylon,PYLNT,0x7703c35cffdc5cda8d27aa3df2f9ba6964544b6e
Verify,CRED,0x672a1ad4f667fb18a333af13667aa0af1f5b5bdd
Coinlancer,CL,0xe81d72d14b1516e68ac3190a46c93302cc8ed60f
Fabric Token,FT,0x78a73b6cbc5d183ce56e786f6e905cadec63547b
EthBits ETBS Token,ETBS,0x1b9743f556d65e757c4c650b4555baf354cb8bd3
ROC,ROC,0x1bcbc54166f6ba149934870b60506199b6c9db6d
Transcodium,TNS,0xb0280743b44bf7db4b6be482b2ba7b75e5da096c
TrakInvest Token,TRAK,0x12759512d326303b45f1cec8f7b6fd96f387778e
Goldmint MNT Prelaunch Token,MNTP,0x83cee9e086a77e492ee0bb93c2b0437ad6fdeccc
TEAM,TEAM,0x1c79ab32c66acaa1e9e81952b8aaa581b43e54e7
eBitcoin,EBTC,0xeb7c20027172e5d143fb030d50f91cece2d1485d
Network,CDX,0x6fff3806bbac52a20e0d79bc538d527f6a22c96b
EventChain,EVC,0xb62d18dea74045e822352ce4b3ee77319dc5ff2f
ESZCoin,ESZ,0xe8a1df958be379045e2b46a31a98b93a2ecdfded
EmphyCoin,EPY,0x50ee674689d75c0f88e8f83cfe8c4b69e8fd590d
SkinCoin,SKIN,0x2bdc0d42996017fce214b21607a515da41a9e0c5
PHI Token,PHI,0x13c2fab6354d3790d8ece4f0f1a3280b4a25ad96
Speed Mining Service,SMS,0x39013f961c378f02c2b82a6e1d31e9812786fd9d
NEVERDIE,NDC,0xa54ddc7b3cce7fc8b1e3fa0256d0db80d2c10970
Nitro,NOX,0xec46f8207d766012454c408de210bcbc2243e71c
QVT,QVT,0x1183f92a5624d68e85ffb9170f16bf0443b4c242
Datarius Credit,DTRC,0xc20464e0c373486d2b3335576e83a218b1618a5e
CryCash,CRC,0xf41e5fbc2f6aac200dd8619e121ce1f05d150077
Authorship,ATS,0x2daee1aa61d60a252dc80564499a69802853583a
Origami Network,ORI,0xd2fa8f92ea72abb35dbd6deca57173d22db2ba49
Tigereum,TIG,0xeee2d00eb7deb8dd6924187f5aa3496b7d06e62a
BoutsPro,BOUTS,0x139d9397274bb9e2c29a9aa8aa0b5874d30d62e3
EthereumMovieVenture,EMV,0xb802b24e0637c2b87d2e8b7784c055bbe921011a
WILD Token,WILD,0xd3c00772b24d997a812249ca637a921e81357701
Fitrova,FRV,0x48df4e0296f908ceab0428a5182d19b31fc037d6
Centra,CTR,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a
EARTH Token,EARTH,0x900b4449236a7bb26b286601dd14d2bde7a6ac6c
Student Coin,STU,0x0371a82e4a9d0a4312f3ee2ac9c6958512891372
Finally Usable Crypto Karma,FUCK,0x65be44c747988fbf606207698c944df4442efe19
Lancer Token,LNC,0x63e634330a20150dbb61b15648bc73855d6ccf07
Beluga Banking Infrastructure Token,BBI,0x37d40510a2f5bc98aa7a0f7bf4b3453bcfb90ac1
Embers,EMB,0x386467f1f3ddbe832448650418311a479eecfc57
Musiconomi,MCI,0x138a8752093f4f9a79aaedf48d4b9248fab93c9c
Legends,LGD,0x59061b6f26bb4a9ce5828a19d35cfd5a4b80f056
FundYourselfNow,FYN,0x88fcfbc22c6d3dbaa25af478c578978339bde77a
minereum,MNE,0x1a95b271b0535d15fa49932daba31ba612b52946
Etheriya,RIYA,0x0b1724cc9fda0186911ef6a75949e9c0d3f0f2f3
Jesus Coin,JC,0xe2d82dc7da0e6f882e96846451f4fabcc8f90528
RouletteToken,RLT,0xcced5b8288086be8c38e23567e684c3740be4d48
ELTCOIN,ELTCOIN,0x44197a4c44d6a059297caf6be4f7e172bd56caaf
MCAP,MCAP,0x93e682107d1e9defb0b5ee701c71707a4b2e46bc
EQUAL,EQL,0x47dd62d4d075dead71d0e00299fc56a2d747bebb
StarCredits,STRC,0x46492473755e8df960f8034877f61732d718ce96
BITPARK,BITPARK,0xf3d29fb98d2dc5e78c87198deef99377345fd6f1
Suretly,SUR,0xe120c1ecbfdfea7f0a8f0ee30063491e8c26fedf
eBitcoinCash,eBCH,0xafc39788c51f0c1ff7b55317f3e70299e521fff6
GreenMed,GRMD,0xb444208cb0516c150178fcf9a52604bc04a1acea
DRP Utility,DRPU,0xe30e02f049957e2a5907589e06ba646fb2c321ba
Billionaire Token,XBL,0x49aec0752e68d0282db544c677f6ba407ba17ed7
Veros,VRS,0x92e78dae1315067a8819efd6dca432de9dcde2e9
ArbitrageCT,ARCT,0x1245ef80f4d9e02ed9425375e8f649b9221b31d8
BitAir,BTCA,0x02725836ebf3ecdb1cdf1c7b02fcbbfaa2736af8
CCRB,CCRB,0xe4c94d45f7aef7018a5d66f44af780ec6023378e
iEthereum,iETH,0x859a9c0b44cb7066d956a958b0b82e54c9e44b4b
Sugar Exchange,SGR,0xcb5a05bef3257613e984c17dbcf039952b6d883f
Intelligent Trading Technologies,ITT,0x0aef06dcccc531e581f0440059e6ffcc206039ee
Accelerator,ACC,0x13f1b7fdfbe1fc66676d56483e21b1ecb40b58e2
Jetcoin,JET,0x8727c112c712c4a03371ac87a74dd6ab104af768
Nexxus,NXX,0x7627de4b93263a6a7570b8dafa64bae812e5c394
WCOIN,WIN,0x899338b84d25ac505a332adce7402d697d947494
TKRToken,TKR,0xb45a50545beeab73f38f31e5973768c421805e5e
Bitcoin Red,BTCR,0x6aac8cb9861e42bf8259f5abdc6ae3ae89909e11
Crystal Clear Token,CCT,0x336f646f87d9f6bc6ed42dd46e8b3fd9dbd15c22
CarTaxi,CTX,0x662abcad0b7f345ab7ffb1b1fbb9df7894f18e66
E4ROW,E4ROW,0xce5c603c78d047ef43032e96b5b785324f753a4f
Ethereum Gold,ETG,0x28c8d01ff633ea9cd8fc6a451d7457889e698de6
Link Platform,LNK,0xe2e6d4be086c6938b53b22144855eef674281639
LendConnect,LCT,0x05c7065d644096a4e4c3fe24af86e36de021074b
Digital Developers Fund Token,DDF,0xcc4ef9eeaf656ac1a2ab886743e98e97e090ed38
ETHGAS,eGAS,0xb53a96bcbdd9cf78dff20bab6c2be7baec8f00f8
GUESS,GUESS,0xbdcfbf5c4d91abc0bc9709c7286d00063c0e6f22
Fujinto,NTO,0x8a99ed8a1b204903ee46e733f2c1286f6d20b177
300 Token,300,0xaec98a708810414878c3bcdf46aad31ded4a4557
Newbium,NEWB,0x814964b1bceaf24e26296d031eadf134a2ca4105
Network,NTWK,0x2233799ee2683d75dfefacbcd2a26c78d34b470d
DALECOIN,DALC,0x07d9e49ea402194bf48a8276dafb16e4ed633317
Ethereum Dark,ETHD,0xdbfb423e9bbf16294388e07696a5120e4ceba0c5
BRAT,BRAT,0x9e77d5a1251b6f7d456722a6eac6d2d5980bd891
IDICE,ICE,0x5a84969bb663fb64f6d015dcf9f622aedc796750
Ccore,CCO,0x679badc551626e01b23ceecefbc9b877ea18fc46
BitAsean,BAS,0x2a05d22db079bc40c2f77a1d1ff703a56e631cc1
Boleno,BLN,0xca29db4221c111888a7e80b12eac8a266da3ee0d
PoSToken,POS,0xee609fe292128cad03b786dbb9bc2634ccdbe7fc
UselessEthereumToken,UET,0x27f706edde3ad952ef647dd67e24e38cd0803dd6
RemiCoin,RMC,0x7dc4f41294697a7903c4027f6ac528c5d14cd7eb
PolyAi,AI,0x5121e348e897daef1eef23959ab290e5557cf274
